New best SSIM (div): 0.0802 (kernel: 11, sigma: 0.10)
New best MSE (div): 0.3190 (kernel: 11, sigma: 0.10)
New best SSIM (sub): 0.0771 (kernel: 11, sigma: 0.10)
New best MSE (sub): 0.3386 (kernel: 11, sigma: 0.10)
New best SSIM (div): 0.0591 (kernel: 11, sigma: 0.20)
New best MSE (div): 0.3614 (kernel: 11, sigma: 0.20)
New best SSIM (sub): 0.0961 (kernel: 11, sigma: 0.20)
New best MSE (sub): 0.3334 (kernel: 11, sigma: 0.20)
New best SSIM (div): 0.0596 (kernel: 11, sigma: 0.30)
New best MSE (div): 0.3644 (kernel: 11, sigma: 0.30)
New best SSIM (sub): 0.1390 (kernel: 11, sigma: 0.30)
New best MSE (sub): 0.2882 (kernel: 11, sigma: 0.30)
New best SSIM (div): 0.0593 (kernel: 11, sigma: 0.40)
New best MSE (div): 0.3677 (kernel: 11, sigma: 0.40)
New best SSIM (sub): 0.1572 (kernel: 11, sigma: 0.40)
New best MSE (sub): 0.2699 (kernel: 11, sigma: 0.40)
New best SSIM (div): 0.0607 (kernel: 11, sigma: 0.50)
New best MSE (div): 0.3651 (kernel: 11, sigma: 0.50)
New best SSIM (sub): 0.1597 (kernel: 11, sigma: 0.50)
New best MSE (sub): 0.2668 (kernel: 11, sigma: 0.50)
New best SSIM (div): 0.0612 (kernel: 11, sigma: 0.60)
New best MSE (div): 0.3644 (kernel: 11, sigma: 0.60)
New best SSIM (sub): 0.1612 (kernel: 11, sigma: 0.60)
New best MSE (sub): 0.2650 (kernel: 11, sigma: 0.60)
New best SSIM (div): 0.0612 (kernel: 11, sigma: 0.70)
New best MSE (div): 0.3642 (kernel: 11, sigma: 0.70)
New best SSIM (sub): 0.1621 (kernel: 11, sigma: 0.70)
New best MSE (sub): 0.2639 (kernel: 11, sigma: 0.70)
New best SSIM (div): 0.0612 (kernel: 11, sigma: 0.80)
New best MSE (div): 0.3643 (kernel: 11, sigma: 0.80)
New best SSIM (sub): 0.1626 (kernel: 11, sigma: 0.80)
New best MSE (sub): 0.2632 (kernel: 11, sigma: 0.80)
New best SSIM (div): 0.0611 (kernel: 11, sigma: 0.90)
New best MSE (div): 0.3644 (kernel: 11, sigma: 0.90)
New best SSIM (sub): 0.1633 (kernel: 11, sigma: 0.90)
New best MSE (sub): 0.2622 (kernel: 11, sigma: 0.90)
New best SSIM (div): 0.0611 (kernel: 11, sigma: 1.00)
New best MSE (div): 0.3645 (kernel: 11, sigma: 1.00)
New best SSIM (sub): 0.1639 (kernel: 11, sigma: 1.00)
New best MSE (sub): 0.2612 (kernel: 11, sigma: 1.00)
New best SSIM (div): 0.0610 (kernel: 11, sigma: 1.10)
